Наименование,Код,Артикул,Ед.,% НДС,Код для НН (по-умолч.),Комментарий
Медян Екстра 5л,00000000113,,пляш.,20%,,
Метабісульфіт калія( 1 кг),00000000175,,пляш.,20%,,
метиленовий блакитний ,00000000236,,пляш.,20%,,
Модем для счетчика,00000000228,,пляш.,20%,,
Монтаж контура заземления ,00000000196,,пляш.,20%,,
Монтаж сист охрани,00000000218,,пляш.,20%,,
"Монтаж сист пож сигнал,оповіщ, пусконалагодж роботи",00000000127,,пляш.,20%,,
Мотобур Олео-Мас МТЛ-51,00000000059,,пляш.,Без НДС,,
Мотопомпа ,00-00000073,,шт,20%,,
Моющее средство FA 18 neomoscan,00000000202,,пляш.,20%,,
Моющее средство SF niroklar,00000000203,,пляш.,20%,,
Набір для пропорційної одиниці BY MATIC 50,00000000250,,пляш.,20%,,
название вина,00-00000229,,,,,
Наконечник медно лужный,00000000226,,пляш.,20%,,
Нативо,00000000105,,кг,20%,,
"Натягувач дроту ""Medium""",00000000049,,пляш.,Без НДС,,
Натягувач ТМТ (Medium),00000000053,,пляш.,20%,,
Неактивные дрожжи Fermaid E,00000000221,,кг,20%,,
Неактивные дрожжи OPTI-MUM-WHITE,00000000073,,кг,20%,3507 90 90 00,
"Нектар Sandora апельсиновий, 0.95",00-00000257,,шт,20%,,
Нітроаммофоска 16 16 16 мішки 31052010,00000000063,,тн.,20%,,
Новалон фолиар,00-00000042,,тн.,20%,,
Оборудование для лаборатории,00000000187,,,,,
Оборудование к установке,00000000003,,,,,
"Обприскувач вентиляторний ""ВИХОР-2000""",00000000064,,пляш.,20%,,
"Обприскувач вентиляторний ""ВИХОР-2000""",00000000066,,пляш.,20%,,
обробка  данних,00000000103,,пляш.,Без НДС,,
"обучение ""Охорона праці""",00000000104,,пляш.,Без НДС,,
Огранізація та проведення дегустації,00-00000238,,шт,20%,,
ознайомлення з станом вир-ва продукц.,00000000112,,пляш.,Без НДС,,
Олива моторна,00-00000074,,шт,20%,,
определение коду уктзед,00000000089,,пляш.,20%,,
определение показателей,00000000090,,пляш.,20%,,
ОПС1-В,00000000224,,пляш.,20%,,
Організація екскурсійного обслуговування,00-00000211,,шт,20%,,
Організація та проведення дегустації,00-00000060,,шт,Без НДС,,
Організація та проведення дегустації,00-00000212,,пляш.,20%,,
Організація та проведення дегустації,00-00000237,,шт,20%,,
Організація та проведення дегустації,00-00000239,,шт,20%,,
Організація транспортноекспедиційних послуг з перевезення вантажу,00-00000309,,шт,20%,,
Організація тренінгу,00-00000209,,шт,20%,,
Отаман 20л,00000000096,,пляш.,20%,,
Оформление 1-ой заявки по присвоению штрихкода юр.лицо  ,00000000178,,пляш.,20%,,
Оформление вступит.пакета(штрихкоды),00000000177,,пляш.,20%,,
охрана,00000000222,,шт,20%,,
оценка відповідності,00000000108,,пляш.,20%,,
"Пакет ""Бейкуш""",00-00000326,,шт,Без НДС,,
Паливо дизельне,00000000164,,л.,20%,,
Параметризация многотар.счетчика,00000000186,,пляш.,20%,,
Пас1400 А(ЯРТ),00000000277,,пляш.,20%,,
"Пензель флейц ""Євро"" 1,5",00000000244,,пляш.,20%,,
"Пензель флейц ""Євро"" 2",00000000245,,пляш.,20%,,
"Пензель флейц ""Євро"" 2,5",00000000246,,пляш.,20%,,
Пенкоцеб 25кг,00000000165,,пляш.,20%,,
переоформление сертифіката,00-00000054,,шт,,,
Пет Нат,00-00000230,4820212630538,пляш.,20%,2204 10 98 00 ,
Пет Нат 2023,00-00000303,4820212630538,пляш.,20%,2204 10 98 00 ,
Пиринекс Супер 5л,00000000101,,пляш.,20%,,
піддон дерев яний,00-00000037,,шт,20%,,
Піддон дерев'яний,00-00000335,,шт,,,
підписка на інтернет видання,00-00000059,,шт,Без НДС,,
Пікнометр,00000000157,,пляш.,20%,,
"Піно Нуар ординарне витримане столове сухе сортове червоне 0,700",00-00000072,,пляш.,20%,,
Піпетка 3-2-2-10,00000000147,,пляш.,20%,,
Піпетка 3-2-2-25,00000000148,,пляш.,20%,,
Піпетка 3-2-2-5/121/122,00000000146,,пляш.,20%,,
Пластиковый контейнер Big Box,00000000040,,пляш.,20%,,
"пляшка винна безкольорова 750 тип ""Bordolesse USA 750ml""",00-00000068,,шт,20%,,
"пляшка винна кол. 700 тип ""Oreanda 700 ml""",00-00000035,,шт,20%,,
"пляшка винна кол. 750 тип ""Bordollesse USA 750 ml""",00-00000036,,шт,20%,,
"Пляшка скляна для напоїв з безбарвного скла, місткість 0,5л",00-00000213,,шт,20%,,
"Пляшка скляна для напоїв з безбарвного скла, номінальна місткість 0,75л",00-00000286,,шт,20%,,
"Пляшка скляна з кольорового скла для напоїв, номінальна містькість 0,75",00-00000285,,шт,20%,,
"Пляшка скляна з кольорового скла для напоїв, номінальна містькість 0,75 AUTHENTIQUE OAK",00-00000307,,шт,20%,,
Повірка іономірів та рН-метрів лабораторних,00000000130,,пляш.,20%,,
Повірка резервуарів вертикальних циліндричних за 1000 куб.дм.,00000000215,,пляш.,20%,,
Подарунковий сертифікат,00-00000174,,шт,20%,,
Подарунковий сертифікат 2023,00-00000268,,шт,20%,,
Подарунковий сертифікат 2024,00-00000304,,шт,20%,,
Подарункові сертифікати 1,00-00000216,,пляш.,20%,,
Подарункові сертифікати 2,00-00000221,,пляш.,20%,,
Подписка на периодику,00000000058,,пляш.,Без НДС,,
подпіска інтернет ізданія,00-00000058,,шт,,,
ПОЛІКЛІН,00-00000088,,кг,20%,,
Полуфабрикаты,00000000004,,,,,
посадка саженцев,00000000032,,пляш.,20%,,
поставка електроенергії,00-00000061,,шт,20%,,
Прибор для определения летучих кислот,00000000192,,пляш.,20%,,
Пристрій для внесення добрив,00000000061,,пляш.,20%,,
Приштамповый кол 20*30*1200мм,00000000051,,пляш.,Без НДС,,
Пробка,00-00000227,,шт,20%,,
"Пробка 39*23,5",00-00000038,,шт,,,
"Пробка 44*23,5",00-00000012,,шт,,,
Пробка для закупорювання пляшок ,00-00000214,,шт,20%,,
Пробка масивна,00000000156,,пляш.,20%,,
Пробка натуральна 45*24,00-00000013,,шт,,,
Проведение инвентаризации источников выбросов,00000000111,,пляш.,Без НДС,,
Провод ПВЗ 10,00000000231,,пляш.,20%,,
Провод ПВЗ 6,00000000229,,пляш.,20%,,
Провод ПВС,00000000115,,м,20%,,
Программа 1с 8,00000000208,,пляш.,20%,,
ПРОДАЖИ 2021,00-00000176,,,,,
ПРОДАЖИ 2023,00-00000272,,,,,
Продукция,00000000005,,,,,
Проміжна опора  виноградників 2400*55*37 г/ц,00000000043,,пляш.,20%,,
Пропорційна одиниця BY MATIC,00000000249,,пляш.,20%,,
просування продукції,00-00000031,,пляш.,20%,,
прочее,00000000035,,пляш.,20%,,
Реле 3110 4-х конт.АВАР,00000000251,,пляш.,20%,,
Ринкоцеб 1кг,00000000167,,пляш.,20%,,
Ркацители,00-00000186,,пляш.,20%,,
Роз єм пластмас. 5-ти міст.реле кондиц.,00000000252,,пляш.,20%,,
Розетка 1-на заземл,00000000118,,пляш.,20%,,
Розетка 2-на заземл,00000000117,,пляш.,20%,,
Розчин 64,00-00000089,,л.,20%,,
Рубін,00-00000342,,шт,20%,,
Рулетка 5мх25мм з магнітами BAUGUT 5G82BX,00-00000360,,шт,20%,,
Ручка склопід. ВАЗ 2101-07 метал АРОКИ,00000000259,,пляш.,20%,,
саженец Алиготе Франция 22/05/12,00000000025,,пляш.,20%,,
саженец Каберне Совиньен Италия  22/05/12,00000000029,,пляш.,20%,,
саженец Каберне Совиньен Франция 22/05/12,00000000024,,пляш.,20%,,
саженец Мерло Франция 22/05/12,00000000023,,пляш.,20%,,
саженец Мерло ЮАР 10/05/12,00000000017,,пляш.,20%,,
саженец Пино Нуар Италия 22/05/12,00000000027,,пляш.,20%,,
саженец Пино Нуар К5ВВ Италия 22/05/12,00000000031,,пляш.,20%,,
саженец Пино черный Франция 22/05/12,00000000020,,пляш.,20%,,
саженец Рислинг  Франция 22/05/12,00000000026,,пляш.,20%,,
саженец Ркацители Грузия 10/05/12,00000000019,,пляш.,20%,,
саженец Сапереви Грузия 10/05/12,00000000018,,пляш.,20%,,
саженец Совиньен зеленый Франция 22/05/12,00000000022,,пляш.,20%,,
саженец Тільті-курук сертифіковані 07/05/14,00000000071,,пляш.,20%,,
саженец Тільті-курук сертифіковані 07/05/14,00000000087,,пляш.,20%,,
саженец Траменер  Италия 22/05/12,00000000028,,пляш.,20%,,
саженец Шардоне Италия  22/05/12,00000000030,,пляш.,20%,,
саженец Шардоне Франция 22/05/12,00000000021,,пляш.,20%,,
"Саморіз для гіпсокартону по дереву, фосфатований3,5х55(уп-1000шт.)",00-00000364,,пак,20%,,
Система охраны,00000000219,,пляш.,20%,,
"Сік Sandora вишневий, 0.95",00-00000259,,шт,20%,,
"Сік Sandora мультифруктовий, 0.95",00-00000258,,шт,20%,,
Сірчані диски (1 кг),00000000274,,кг,20%,,
Сладкое белое,00-00000138,4820212630422,пляш.,20%,2204 21 97 00 ,
Сладкое красное,00-00000139,4820212630415,пляш.,20%,2204 21 98 00 ,
создание проекта насаждений,00000000033,,пляш.,20%,,
"Сольвент Хімтред (0,6 кг)",00000000247,,пляш.,20%,,
Сортовой состав,00-00000185,,,,,
Спецодежда,00-00000016,,,,,
Стандарное присоединение электроустановок 3-х фазное,00000000232,,пляш.,20%,,
стекло+топливопровод,00000000088,,пляш.,20%,,
стоянка грузового транспорта,00000000034,,пляш.,20%,,
"Стяжка 150х2,5 пласт",00000000126,,упак.,20%,,
Субаренда динамичная (э/э),00000000197,,пляш.,Без НДС,,
Суборенда помещения (предоплата за отопление),00000000183,,пляш.,Без НДС,,
"Суборенда помещения: г.Николаев, пр.Ленина 93д ",00000000184,,пляш.,Без НДС,,
Сувенірна продукція ,00-00000196,,шт,20%,,
супер бізон,00-00000055,,л.,20%,,
Сухі активні дріжджі  Cross Evolution  10kg,00-00000040,,кг,20%,,
Сухі активні дріжджі  Lalvin CY 10kg,00-00000039,,кг,20%,,
Сухі активні дріжджі  Lalvin ICV 10kg,00000000075,,кг,20%,2102 10 10 00,
Сухі активні дріжджі  Lalvin QA23 10kg,00000000076,,кг,20%,2102 10 10 00,
Сухі активні дріжджі  Lalvin RC 212 10kg HP,00000000084,,кг,20%,2102 10 10 00,
Сухі активні дріжджі  Lalvin ЕС 1118,00000000080,,кг,20%,2102 10 10 00,
Сухі активні дріжджі Enoferm 10kg,00000000072,,кг,20%,2102 10 10 00,
Сухі активні дріжджі Uvaferm  10kg,00000000220,,кг,20%,,
Счетчик АСЕ6000,00000000227,,пляш.,20%,,
Т/У ковпачок 31А*65 білий,00-00000056,,шт,,,
Т/У ковпачок 31А*65 чорний,00-00000057,,шт,,,
Танін ТАНАЛ W4 (TANAL W4),00-00000090,,кг,20%,,
Танос ,00000000107,,кг,20%,,
Тельті Курук 2025,00-00000373,4820212630347,пляш.,20%,2204 21 97 00 ,
Термометр ТТЖ-М вик.1 П1,00000000190,,пляш.,20%,,
Термометр ТТЖ-М вик.1 П4,00000000191,,пляш.,20%,,
тех.обслуживание,00000000047,,пляш.,20%,,
Тиовит Джет 20кг,00000000110,,пляш.,20%,,
Тіовіт Джет 80,00000000171,,кг,20%,,
Тіома 5л,00000000109,,пляш.,20%,,
Товар,00-00000330,,грн,20%,,
Товары,00000000001,,,,,
ТОП,00-00000168,,,,,
Топаз 5л,00000000099,,пляш.,20%,,
Топливо,00000000181,,,,,
Топливо дизельное Евро сорт С эколог.класс К5 (ДТ-Л-К5),00000000185,,л.,20%,,
Топсин М 500 5л,00000000106,,л.,20%,,
Трактор Беларус,00000000039,,пляш.,20%,8701 90 31 00,
"Трактор Беларус-921,3 (8701903100)",00000000009,,пляш.,20%,,
Трос сталевий Ф3 оцин 100м,00-00000064,,м,20%,,
"Трубка газотв. 4316,4213(инж)",00000000256,,пляш.,20%,,
Услуги,00000000006,,,,,
Услуги банка,00000000042,,пляш.,Без НДС,,
Услуги брокера,00000000016,,пляш.,Без НДС,,
Услуги в сфере охраны общественного порядка и безопасности,00000000179,,пляш.,20%,,
Участие в выставке,00000000041,,пляш.,Без НДС,,
Фалькон 5л,00000000094,,пляш.,20%,,
Фантазия,00-00000165,,,,,
Фантазия Альбариньо 2019 ,00-00000127,4820212630255,пляш.,20%,2204 21 97 00,
Фантазия Иллюзия  2019 ,00-00000117,4820212630248,пляш.,20%,2204 21 98 00,
Фантазия Иллюзия 2018,00-00000081,,пляш.,20%,,NOT_IN_SALE
Фантазия Пинотаж 2019 ,00-00000128,,пляш.,20%,,
Фантазия Тиморассо 2017,00-00000131,4820212630262,пляш.,20%,2204 21 97 00 ,
Фантазия Тиморассо 2018,00-00000120,4820212630262,пляш.,20%,2204 21 97 00,
Фантазия Тіморассо 2019,00-00000200,4820212630262,пляш.,20%,,
Фантазия Тіморассо 2020,00-00000248,4820212630262,пляш.,20%,2204 21 97 00 ,
Фантазія Альбариньо 2019,00-00000155,,пляш.,Без НДС,,
"Фантазія вино Бейкуш біле ординарне столове сухе 0,75 л",00-00000083,,пляш.,20%,,
Фантазія Пінотаж 2019,00-00000156,,пляш.,Без НДС,,
Фантазія Тіморассо 2018,00-00000157,,пляш.,Без НДС,,
Фартук гумовий,00-00000020,,шт,,,
фенолфталеїн чда,00000000237,,кг,20%,,
Фермент Lallzyme EX-V 10kg,00-00000041,,кг,20%,,
Фермент Lallzyme HC 10kg,00000000074,,кг,20%,3507 90 90 00,
Фермент Lallzyme Lyso 2.5kg,00000000070,,кг,20%,3507 90 90 00,
Фермент Lallzyme СВ 10kg,00000000176,,кг,20%,,
"фільтрелемент 30 дюйм  0,45 мкр",00-00000009,,шт,,,
фільтрелемент 30 дюйм  1 мкр,00-00000010,,шт,,,
Фін.підтр. по пр-ту Бізнес-міст в рамках європ. проекту Ukraine Ready4EU згідно дог.212 від4.02.25 з,00-00000340,,шт,20%,,
Фінансова підтримка по програмі Бізнес-міст в рамках європейського проекту Ukraine Ready4EU згідно д,00-00000341,,шт,20%,,
Хвостовик ВОМ МТЗ80,00000000079,,пляш.,20%,,
Холодильник ХШ1-400-29/32,00000000152,,пляш.,20%,,
Циліндр 1-50-2,00000000144,,пляш.,20%,,
Циліндр 1-500-2,00000000145,,пляш.,20%,,
ЧВ-Біта РН 2х50 2 шт. TOLSEN,00-00000361,,шт,20%,,
"ЧВ-Диск пильний по дереву 250х32 60 зуб. по дереву HAISSER(4311640) перех.кільця 16,20,25.4,30мм",00-00000363,,шт,20%,,
Шавит 1кг,00000000100,,пляш.,20%,,
Шардоне,00000000055,,га,20%,,
шардоне,00000000056,,пляш.,20%,,
"Шардоне ординарне витримане столове сухе сортове біле 0,700",00-00000070,,пляш.,20%,,
"Шардоне-Рислінг ординарне витримане столове сухе біле 0,700",00-00000071,,пляш.,20%,,
Шина нульова,00000000122,,пляш.,20%,,
Шланг гибкий газовый,00000000206,,пляш.,Без НДС,,
Шланг обігрів. D-20 мм 1м,00000000257,,м,20%,,
Шнек 20*100,00000000060,,пляш.,Без НДС,,
Шпагат п/п 2000,00000000097,,кг,20%,,
Шпагат п/п асортимент 1000,00000000077,,кг,20%,,
Щит учета 3ф счетчика,00000000223,,пляш.,20%,,
Щит учета 3ф счетчика навесной ЩУ-3/1-1 74 IP54,00000000198,,пляш.,20%,,
Щиток 2-6мод зовн,00000000121,,пляш.,20%,,
Юридические услуги,00000000086,,пляш.,Без НДС,,
Ярлик Вино Артанія біле,00-00000050,,пляш.,,,
Ярлик Вино Артанія червоне,00-00000051,,пляш.,,,
Ярлик Вино Бейкуш біле,00-00000048,,пляш.,,,
Ярлик Вино Бейкуш червоне,00-00000049,,пляш.,,,
Яфе Нагар,00-00000158,,пляш.,Без НДС,,
Яфе Нагар 2018 ,00-00000124,4820212630378 ,пляш.,20%,2204 21 97 00,
Яфе Нагар 2019,00-00000197,4820212630378 ,пляш.,20%,2204 21 97 00,
Яфе Нагар 2020,00-00000274,4820212630378 ,пляш.,20%,2204 21 97 00 ,
Яфе Нагар 2021,00-00000290,4820212630378 ,пляш.,20%,2204 21 97 00 ,
Яфе Нагар 2022,00-00000319,4820212630378 ,пляш.,20%,2204 21 97 00 ,
Яфе Нагар 2023,00-00000338,4820212630378 ,пляш.,20%,2204 21 97 00 ,
Ящик,00-00000194,,пляш.,20%,,
Ящик винный,00000000200,,пляш.,Без НДС,,
